SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,WL,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,AVAILABLE_FLAG,TEAM_NAME,MATCHUP,PTS,SEASON,PACE_ROLL_MEAN_10,OFF_RATING_ROLL_MEAN_10,DEF_RATING_ROLL_MEAN_10,PTS_ROLL_MEAN_MU,PTS_ROLL_VAR_SIGMA2,TRUE_MARKET_LINE,OPP_TEAM_ID,OPP_DEF_RATING_ROLL_MEAN_10,OPP_PACE_ROLL_MEAN_10,XGB_WF_ADJUSTED_MU,XGB_WF_ADJUSTED_SIGMA2,n_param_XGB_WF,p_param_XGB_WF,PROB_OVER_XGB_WF,PROB_UNDER_XGB_WF,PROJECTED_SCORE_25TH_XGB_WF,PROJECTED_SCORE_75TH_XGB_WF,ACTUAL_SCORE_PROB_XGB_WF,LOG_LIKELIHOOD_XGB_WF,ODDS_OVER,ODDS_UNDER,IMPLIED_PROB_OVER,IMPLIED_PROB_UNDER,B_ODDS_OVER,B_ODDS_UNDER,EDGE_OVER_XGB_WF,EDGE_UNDER_XGB_WF,BET_PLACED_XGB_WF,BET_RESULT_XGB_WF,PNL_XGB_WF,CUM_PNL_XGB_WF,BANKROLL_XGB_WF
2022-23,1610612738,BOS,22200001,2022-10-18,W,48.0,126.9,129.9,114.3,119.4,12.5,10.5,0.522,2.18,18.5,0.256,0.81,0.543,0.113,0.634,0.668,100.8,97.5,81.25,97,0.566,1,1,1,1,173,212,1932,602,2265,816,1216,1692,348,550,689,265,228,1849,559,1.0,Boston Celtics,BOS vs. PHI,126,2022-23,99.52690070230308,110.68979034199992,107.3529593244903,113.78622493698316,282.5231644198527,109.5,1610612755,104.64406880693036,98.57680948526958,108.18566,268.6173602890421,72.9540219933294,0.402750072443219,0.4521398452532856,0.5478601547467143,97.0,119.0,0.0124789306433346,4.383713525207249,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,-0.07166967855623824,0.02405063093719051,NO BET,NO BET,0.0,0.0,10000.0
2022-23,1610612755,PHI,22200001,2022-10-18,L,48.0,114.3,119.4,126.9,129.9,-12.5,-10.5,0.4,1.14,13.1,0.19,0.744,0.457,0.143,0.581,0.634,100.8,97.5,81.25,98,0.434,1,1396,1396,1396,173,855,2574,2189,2740,2531,2654,2438,1095,2239,1468,799,542,1849,2232,1.0,Philadelphia 76ers,PHI @ BOS,117,2022-23,98.57680948526958,108.07020742101902,104.64406880693036,106.73785863524787,192.3463747611069,106.5,1610612738,107.3529593244903,99.52690070230308,107.44346,193.61789724376536,133.96195966725463,0.5549252423801367,0.5146407440276799,0.4853592559723201,98.0,117.0,0.0214694443963024,3.841124498989947,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,-0.009168779781843939,-0.03845026783720373,NO BET,NO BET,0.0,0.0,10000.0
2022-23,1610612744,GSW,22200002,2022-10-18,W,48.0,105.9,107.0,92.4,97.3,13.6,9.6,0.689,1.72,19.1,0.281,0.754,0.518,0.157,0.535,0.564,117.1,113.5,94.58,115,0.548,1,1,1,1,173,2006,210,658,512,1510,985,1348,967,1027,1863,1485,1655,19,790,1.0,Golden State Warriors,GSW vs. LAL,123,2022-23,100.75961678474896,111.00359817367392,104.6221631055014,112.06240406326002,131.96397333268789,115.5,1610612747,112.7253987630087,107.13374200527126,116.361694,137.02679017688857,655.2132179557,0.8491893751997373,0.5216864077720302,0.4783135922279697,108.0,124.0,0.0281804817588229,3.569125641401317,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,-0.0021231160374936,-0.04549593158155413,NO BET,NO BET,0.0,0.0,10000.0
2022-23,1610612747,LAL,22200002,2022-10-18,L,48.0,92.4,97.3,105.9,107.0,-13.6,-9.6,0.575,1.05,15.4,0.246,0.719,0.482,0.196,0.479,0.519,117.1,113.5,94.58,112,0.452,1,1396,1396,1396,173,2581,785,2133,1742,2648,2267,1818,1430,1761,2577,2343,2356,19,2001,1.0,Los Angeles Lakers,LAL @ GSW,109,2022-23,107.13374200527126,100.25260273713602,112.7253987630087,107.83785869043211,340.3167910928715,108.0,1610612744,104.6221631055014,100.75961678474896,106.248535,335.3011732780379,49.28452721230062,0.3168749280460965,0.4322930091873995,0.5677069908126005,93.0,118.0,0.0210456533223596,3.861061185660155,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,-0.09151651462212435,0.04389746700307662,UNDER,LOSS,-110.0,-110.0,9890.0
2022-23,1610612765,DET,22200003,2022-10-19,W,48.0,107.0,111.9,106.5,106.9,0.6,5.0,0.775,2.38,20.8,0.293,0.723,0.486,0.129,0.5,0.54,104.0,101.5,84.58,101,0.525,1,1,1,1,173,1542,768,1035,86,585,489,1177,1358,1695,1075,2029,2070,937,1083,1.0,Detroit Pistons,DET vs. ORL,113,2022-23,102.07213962603228,103.66922008287465,114.66052640296265,105.73174012617687,67.55394122175956,110.25,1610612753,107.49863419879084,101.35854038755444,109.33776,69.85789381742502,1195219.2829900838,0.9999085291189282,0.4495180121510622,0.5504819878489378,102.0,116.0,0.0352929924261026,3.344070821256614,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,-0.07429151165846165,0.026672464039413923,NO BET,NO BET,0.0,-110.0,9890.0
2022-23,1610612753,ORL,22200003,2022-10-19,L,48.0,106.5,106.9,107.0,111.9,-0.6,-5.0,0.5,1.17,15.4,0.277,0.707,0.514,0.176,0.552,0.578,104.0,101.5,84.58,102,0.475,1,1396,1396,1396,173,2016,1241,1756,2365,2508,2260,1416,1608,1087,2285,1193,1388,937,1708,1.0,Orlando Magic,ORL @ DET,109,2022-23,101.35854038755444,105.94657166941585,107.49863419879084,107.65222082405624,93.11847485442712,106.25,1610612765,114.66052640296265,102.07213962603228,112.24308,97.0895384741215,1259581.8032036612,0.999910896555999,0.7022537507464246,0.2977462492535754,105.0,119.0,0.0364167792714181,3.3127256140981367,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,0.17844422693690076,-0.22606327455594843,OVER,WIN,100.0,-10.0,9990.0
2022-23,1610612754,IND,22200004,2022-10-19,L,48.0,97.9,102.9,108.0,108.6,-10.0,-5.7,0.538,1.4,14.7,0.29,0.647,0.451,0.144,0.479,0.504,107.4,104.5,87.08,104,0.424,1,1396,1396,1396,173,2332,908,1800,2106,2138,2440,1220,2322,2317,1506,2338,2507,425,2340,1.0,Indiana Pacers,IND vs. WAS,107,2022-23,102.56086445407614,113.47406968868866,117.32984965654876,116.28557273334748,53.94761670646815,113.25,1610612764,111.07128256392907,99.39151861504908,112.48505,52.18446299950822,1265018.3371472158,0.9999110882091096,0.4557055474762402,0.5442944525237597,105.0,120.0,0.0336372010394762,3.3921226209549316,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,-0.06810397633328363,0.020484928714235906,NO BET,NO BET,0.0,-10.0,9990.0
2022-23,1610612764,WAS,22200004,2022-10-19,W,48.0,108.0,108.6,97.9,102.9,10.0,5.7,0.5,1.24,14.7,0.353,0.71,0.549,0.162,0.516,0.556,107.4,104.5,87.08,105,0.576,1,1,1,1,173,1877,455,991,2365,2416,2440,457,1571,472,2004,1813,1783,425,451,1.0,Washington Wizards,WAS @ IND,114,2022-23,99.39151861504908,103.0890718184178,111.07128256392907,102.74579400373976,228.3314717574276,115.75,1610612754,117.32984965654876,102.56086445407614,110.210915,244.9211725020323,90.16718921582738,0.4499852482573833,0.3555296790816967,0.6444703209183033,99.0,120.0,0.0240957151984883,3.725721205385196,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,-0.16827984472782714,0.12066079710877942,UNDER,WIN,100.0,90.0,10090.0
2022-23,1610612737,ATL,22200005,2022-10-19,W,48.0,110.8,110.4,101.3,100.9,9.5,9.4,0.667,3.33,21.1,0.128,0.696,0.437,0.085,0.539,0.582,105.6,106.0,88.33,106,0.572,1,1,1,1,173,1703,349,671,682,152,410,2733,1749,2494,183,1431,1314,245,501,1.0,Atlanta Hawks,ATL vs. HOU,117,2022-23,99.15476334146835,109.6019837150797,111.36586414701873,108.59728922997886,165.14359108303466,122.75,1610612745,111.84100782260184,102.87306570780638,112.97862,171.8062721185423,216.97567409724292,0.6575931195257577,0.2299656365446645,0.7700343634553355,104.0,122.0,0.0283581300338068,3.562841480977579,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,-0.2938438872648593,0.24622483964581166,UNDER,WIN,100.0,190.0,10190.0
2022-23,1610612745,HOU,22200005,2022-10-19,L,48.0,101.3,100.9,110.8,110.4,-9.5,-9.4,0.595,1.56,17.0,0.304,0.872,0.563,0.151,0.474,0.511,105.6,106.0,88.33,106,0.428,1,1396,1396,1396,173,2441,1084,2119,1506,1790,1760,1034,54,295,1700,2388,2424,245,2290,1.0,Houston Rockets,HOU @ ATL,107,2022-23,102.87306570780638,113.83772705890183,111.84100782260184,117.55420828008008,87.53670830095052,112.25,1610612737,111.36586414701873,99.15476334146835,112.94437,84.10399087591983,1275370.5202135774,0.999911449761924,0.5104218815542431,0.4895781184457569,106.0,120.0,0.0328630149990378,3.4154073872909354,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,-0.013387642255280774,-0.034231405363766954,NO BET,NO BET,0.0,190.0,10190.0
